"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"89","08117024","19696","8418","196","163965","163965","58798","33534","None","None","10956","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","36384","None","24293","None","None","None","Geislingen an der Steige, Stadt",9.835836,48.623045
"90","08117025","3484","2036","38","26442","26442","None","5307","None","None","None","None","None","None","None","None","None","None","None","None","393","None","None","8741","None","None","None","None","None","None","None","None","12001","None","None","None","None","None","Gingen an der Fils",9.779463,48.656609
"91","08117026","42572","16073","642","519518","519518","146754","103215","89064","None","22823","None","None","None","None","None","None","None","None","None","8725","None","None","None","None","74191","None","None","None","None","None","None","74746","None","None","None","None","None","Göppingen, Stadt",9.653964,48.703267
"92","08117028","1741","996","28","9342","9342","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9342","None","None","None","None","None","Gruibingen",9.640912,48.595838
"93","08117029","2382","1397","39","15485","15485","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","15485","None","None","None","None","None","Hattenhofen",9.574768,48.666458
"94","08117030","4081","2140","39","35188","35188","8647","4454","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","13197","None","None","None","8890","None","Heiningen",9.651131,48.660666
"95","08117031","696","400","10","2888","2888","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","2888","None","None","None","None","None","Hohenstadt",9.663973,48.54445
"96","08117033","4516","2361","32","39496","39496","14003","11101","1963","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","12429","None","None","None","None","None","Kuchen",9.800136,48.635851
"97","08117035","835","457","10","2070","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Mühlhausen im Täle",9.654452,48.577165
"98","08117037","1988","1239","19","14048","14048","4077","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9971","None","None","None","None","None","Ottenbach",9.747979,48.735288
"99","08117038","4375","2199","35","35590","35590","9663","7382","5691","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","12854","None","None","None","None","None","Rechberghausen",9.64174,48.731398
"100","08117042","5995","2858","56","47139","47139","20198","18477","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8464","None","None","None","None","None","Salach",9.737615,48.690404
"101","08117043","1382","880","14","8462","8462","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8462","None","None","None","None","None","Schlat",9.707148,48.654497
"102","08117044","3099","1765","60","22508","22508","11945","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10563","None","None","None","None","None","Schlierbach",9.517788,48.673712
"103","08117049","7547","3397","68","55289","55289","16289","14343","12114","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","12543","None","None","None","None","None","None","None","None","None","None","None","None","Süßen, Stadt",9.757236,48.680177
"104","08117051","10799","4908","226","95837","95837","18129","25883","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9055","None","None","None","None","None","None","42770","None","None","None","None","None","Uhingen, Stadt",9.585162,48.70652
"105","08117053","3119","1812","31","20436","20436","9765","6297","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","4374","None","None","None","None","None","Wäschenbeuren",9.686958,48.759779
"106","08117055","2573","1384","47","17052","17052","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17052","None","None","None","None","None","Wangen",9.608282,48.725495
"107","08117058","1626","971","15","11044","11044","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11044","None","None","None","None","None","Wiesensteig, Stadt",9.625129,48.561947
"108","08117060","2492","1538","18","17675","17675","4013","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","13662","None","None","None","None","None","Zell unter Aichelberg",9.573107,48.651705
"109","08117061","2111","1088","19","12159","12159","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","12159","None","None","None","None","None","Lauterstein, Stadt",9.861873,48.710289
"110","08118001","3602","2066","27","27138","27138","10059","6045","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11034","None","None","None","None","None","Affalterbach",9.323455,48.923115
"111","08118003","10165","5139","83","85165","85165","24050","12594","23689","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","24832","None","None","None","None","None","Asperg, Stadt",9.135324,48.905897
"112","08118006","4710","2564","59","34004","34004","10062","8754","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","15188","None","None","None","None","None","Benningen am Neckar",9.242498,48.947824
"113","08118007","9595","5042","96","82842","82842","24095","14374","None","5125","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19714","None","19534","None","None","None","Besigheim, Stadt",9.140825,49.000174
